Airport Code,Airport Name,Country Name,Latitude,Longitude
VCP,Viracopos,Brazil,-23.0075,-47.134444
SZX,Shenzhen,China,22.55,113.916667
ADD,Bole International,Ethiopia,8.977778,38.799444
CTU,Shuangliu,China,30.578611,103.947222
CAN,New Baiyun,China,23.3925,113.298889
FCO,Leonardo da Vinci International,Italy,41.804444,12.250833
GRU,Aeroporto Internacional Guarulhos,Brazil,-23.431944,-46.469444
MIA,Miami International Airport,United States,25.783333,-80.266667
JNB,Oliver Reginald Tambo International,South Africa,-26.139167,28.246111
SCL,Arturo Merino Benitez,Chile,-33.559722,-70.7
LIM,Jorge Chavez International,Peru,-12.021944,-77.114444
MCO,Orlando International,United States,28.429444,-81.308889
CMN,Mohamed V,Morocco,33.366667,-7.583333
LHR,London Heathrow,United Kingdom,51.469722,-0.451389
SFO,San Francisco International,United States,37.618889,-122.375
AEP,Arpt. Jorge Newbery,Argentina,-34.559167,-58.415556
BRU,Brussels Airport,Belgium,50.902222,4.485833
SGN,Tan Son Nhat International,Viet Nam,10.818889,106.651944
HGH,Hangzhou,China,30.3,120.283333
SAW,Sabiha Gokcen,Turkey,40.898611,29.309167
ICN,Incheon International,Korea,37.469167,126.450556
CPH,Kastrup,Denmark,55.618056,12.655833
DUB,Dublin,Ireland,53.433333,-6.25
SVO,Sheremetyevo,Russian Federation,55.972778,37.414722
YYZ,Lester B. Pearson International,Canada,43.677222,-79.630556
LGW,London Gatwick,United Kingdom,51.148056,-0.190278
CLT,Charlotte Douglas,United States,35.216667,-80.933333
LAX,Los Angeles International,United States,33.9425,-118.407222
CAI,Cairo International,Egypt,30.121944,31.405556
DXB,Dubai,United Arab Emirates,25.25,55.333333
JFK,John F Kennedy Intl,United States,40.633333,-73.783333
ALG,Houari Boumediene,Algeria,36.783333,3.05
DOH,Doha,Qatar,25.261111,51.565
MAD,Barajas,Spain,40.466667,-3.566667
SHA,Hongqiao,China,31.2,121.341111
AMS,Amsterdam-Schiphol,Netherlands,52.308611,4.763889
BOG,Eldorado International,Colombia,4.703056,-74.138333
CGK,Soekarno-Hatta International,Indonesia,-6.125556,106.655833
SIN,Changi,Singapore,1.350278,103.994444
XIY,Xianyang,China,34.447222,108.751667
PTY,Tocumen International,Panama,8.966667,-79.533333
ATL,Hartsfield-jackson Atlanta International,United States,33.636667,-84.428056
CDG,Charles De Gaulle,France,49.016667,2.55
SYD,Kingsford Smith,Australia,-33.946111,151.177222
PVG,Pu Dong,China,31.143333,121.805278
MEX,Internacional Benito Juarez,Mexico,19.436389,-99.072222
DEL,Indira Gandhi Intl,India,28.569444,77.118056
ATH,Eleftherios Venizelos,Greece,37.936389,23.944444
HND,Tokyo Haneda International,Japan,35.552222,139.779722
NBO,Jomo Kenyatta International,Kenya,1.316667,36.933333
OSL,"Oslo Airport, Gardermoen",Norway,60.193889,11.100278
MUC,Franz Josef Strauss,Germany,48.35,11.783333
CGO,Zhengzhou,China,34.75,113.416667
KUL,Kuala Lumpur International Airport,Malaysia,2.745556,101.71
BOM,Chhatrapati Shivaji International,India,19.088611,72.868056
CNF,Tancredo Neves International,Brazil,-19.633611,-43.968889
BLR,Bangalore International Airport,India,12.966667,77.6
ORD,Chicago O'hare International,United States,41.978611,-87.904722
FRA,Frankfurt International Airport,Germany,50.026389,8.543056
MNL,Ninoy Aquino Intl,Philippines,14.516667,121.016667
DME,Domodedovo,Russian Federation,55.419444,37.885833
LIS,Portela,Portugal,38.781389,-9.135833
VIE,Schwechat International,Austria,48.110278,16.569722
IST,Ataturk,Turkey,40.976944,28.821111
PHX,Sky Harbor Intl,United States,33.433333,-112.033333
ARN,Arlanda,Sweden,59.651944,17.918611
PEK,Beijing Capital Int.,China,40.063333,116.584444
TPE,Taiwan Taoyuan International,Taiwan,25.077778,121.223889
MEL,Tullamarine,Australia,-37.673333,144.843333
IAH,George Bush Intercontinental,United States,29.984444,-95.341389
ZRH,ZÃ¼rich-Kloten,Switzerland,47.464722,8.549167
CPT,Cape Town International,South Africa,-33.964722,18.601667
SEA,Seattle-Tacoma International,United States,47.448889,-122.309444
NRT,New Tokyo International Airport,Japan,35.763889,140.391667
MXP,Malpensa,Italy,45.633333,8.733333
MAN,Manchester,United Kingdom,53.35,-2.266667
FLL,Fort Lauderdale/hollywood International,United States,26.0725,-80.152778
BKK,Suvarnabhumi International,Thailand,13.681111,100.747222
